"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048041","focal adhesion assembly","6/193","85/18903",0.000234753256899565,0.0242467547631619,0.0211388502608091,"ROCK2/PTEN/EFNA5/PEAK1/DUSP22/GPM6B",6
"GO:0001976","nervous system process involved in regulation of systemic arterial blood pressure","3/193","14/18903",0.000351074620788794,0.0320407220090479,0.0279338010968174,"SOD2/NAV2/AGT",3
"GO:0090132","epithelium migration","12/193","369/18903",0.000426288465654863,0.0332644480189401,0.0290006721538328,"ROCK2/BMP4/MCC/STC1/VSTM4/PTEN/STARD13/CDH5/SCARB1/AGT/ANGPT1/FOXP1",12
"GO:0035633","maintenance of blood-brain barrier","4/193","35/18903",0.000430528715804162,0.0332644480189401,0.0290006721538328,"CDH5/WNK3/ANGPT1/DMD",4
"GO:0030198","extracellular matrix organization","11/193","318/18903",0.000442247645066894,0.0332644480189401,0.0290006721538328,"TGFBI/COL6A6/COL5A2/APP/COL8A1/ST7/IER3IP1/ADAMTS3/AGT/COL27A1/GPM6B",11
"GO:0043062","extracellular structure organization","11/193","319/18903",0.00045403318227017,0.0332644480189401,0.0290006721538328,"TGFBI/COL6A6/COL5A2/APP/COL8A1/ST7/IER3IP1/ADAMTS3/AGT/COL27A1/GPM6B",11
"GO:0045229","external encapsulating structure organization","11/193","321/18903",0.000478395601088975,0.0332644480189401,0.0290006721538328,"TGFBI/COL6A6/COL5A2/APP/COL8A1/ST7/IER3IP1/ADAMTS3/AGT/COL27A1/GPM6B",11
"GO:0090130","tissue migration","12/193","374/18903",0.000480560282935366,0.0332644480189401,0.0290006721538328,"ROCK2/BMP4/MCC/STC1/VSTM4/PTEN/STARD13/CDH5/SCARB1/AGT/ANGPT1/FOXP1",12
"GO:0043087","regulation of GTPase activity","12/193","376/18903",0.000503844362516979,0.0332644480189401,0.0290006721538328,"NTRK2/ARHGAP42/TTC8/TBC1D10A/ABR/RASGRP1/EFNA5/ASAP1/DVL3/CCL3L3/RGS9/PLXNC1",12
"GO:0045986","negative regulation of smooth muscle contraction","3/193","16/18903",0.000532044539590354,0.0343944626322681,0.0299858435690178,"ARHGAP42/KCNMA1/DOCK4",3
"GO:0018108","peptidyl-tyrosine phosphorylation","12/193","380/18903",0.000553275109207832,0.0350369931402429,0.0305460156963293,"ROR2/NTRK2/ADIPOQ/CNTN1/APP/EFNA5/PEAK1/NEURL1/HIPK2/AGT/DUSP22/ANGPT1",12
"GO:0071559","response to transforming growth factor beta","10/193","277/18903",0.000577242256871606,0.0352575530580055,0.030738304648837,"ROCK2/LDLRAD4/CDH5/FBN2/ZFHX3/HIPK2/DUSP22/PRDM16/WFIKKN2/RASL11B",10
"GO:0150115","cell-substrate junction organization","6/193","101/18903",0.000594612914941101,0.0354823822127353,0.0309343156153569,"ROCK2/PTEN/EFNA5/PEAK1/DUSP22/GPM6B",6
"GO:0033135","regulation of peptidyl-serine phosphorylation","7/193","143/18903",0.000673981147613552,0.0373028204962997,0.0325214134625202,"NTRK2/SMYD3/PTEN/APP/OPRD1/ANGPT1/DMD",7
"GO:0090287","regulation of cellular response to growth factor stimulus","11/193","338/18903",0.000733280594303307,0.0373028204962997,0.0325214134625202,"LDLRAD4/BMP4/CDH5/FBN2/ADAMTS3/HIPK2/GPC3/AGT/PRDM16/WFIKKN2/RASL11B",11
"GO:0003159","morphogenesis of an endothelium","3/193","18/18903",0.00076369212401159,0.0373028204962997,0.0325214134625202,"BMP4/STARD13/FOXP1",3
"GO:0061154","endothelial tube morphogenesis","3/193","18/18903",0.00076369212401159,0.0373028204962997,0.0325214134625202,"BMP4/STARD13/FOXP1",3
"GO:0070371","ERK1 and ERK2 cascade","11/193","340/18903",0.000769575074202705,0.0373028204962997,0.0325214134625202,"BMP4/ADIPOQ/RASGRP1/PTEN/APP/ACKR3/CCL3L3/SLC30A10/FSHR/AGT/ANGPT1",11
"GO:0035296","regulation of tube diameter","7/193","147/18903",0.000793421254513626,0.0373028204962997,0.0325214134625202,"ROCK2/ARHGAP42/KCNMA1/SOD2/VSTM4/DOCK4/AGT",7
"GO:0097746","blood vessel diameter maintenance","7/193","147/18903",0.000793421254513626,0.0373028204962997,0.0325214134625202,"ROCK2/ARHGAP42/KCNMA1/SOD2/VSTM4/DOCK4/AGT",7
"GO:0010632","regulation of epithelial cell migration","10/193","292/18903",0.000865275967290379,0.0385891915214823,0.0336428998117983,"ROCK2/BMP4/MCC/STC1/PTEN/STARD13/SCARB1/AGT/ANGPT1/FOXP1",10
"GO:0010463","mesenchymal cell proliferation","4/193","42/18903",0.000870526395908398,0.0385891915214823,0.0336428998117983,"BMP4/BMP7/GPC3/NFIB",4
"GO:0007173","epidermal growth factor receptor signaling pathway","6/193","110/18903",0.00093181108813556,0.0396083535134883,0.0345314274911087,"KIF16B/FAM83B/NEURL1/SLC30A10/AGT/GRB7",6
"GO:0051216","cartilage development","8/193","201/18903",0.001097453099143,0.0460188779275773,0.040120262657148,"TGFBI/BMP4/TRPS1/STC1/BMP5/BMP7/NFIB/COL27A1",8
"GO:0060973","cell migration involved in heart development","3/193","21/18903",0.00121700932257914,0.0490438951683517,0.0427575387426985,"BMP4/PITX2/BMP7",3
